Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Western Kenya,Kenya,Western Community 495,12690,Well,51.6,28,5,Toilets,11662,Yes,Yes,6.0,22.5,87.7
Eastern Rwanda,Rwanda,Eastern Community 496,5057,Borehole,55.2,2,5,Toilets,39129,Yes,No,1.0,25.5,91.2
Southern Zambia,Zambia,Southern Community 497,3812,Well,36.9,37,6,Toilets,49526,No,No,5.7,24.5,62.0
Southern Zambia,Zambia,Southern Community 498,3221,Well,57.8,8,7,Toilets,2902,No,Yes,5.1,21.4,74.8
Eastern Ethiopia,Ethiopia,Eastern Community 499,1261,Well,93.7,32,8,Latrines,7753,Yes,No,3.7,3.1,89.3
Dar es Salaam,Tanzania,Dar Community 500,4652,River,66.5,49,8,Latrines,16321,No,No,2.0,14.6,94.5
Eastern Rwanda,Rwanda,Eastern Community 501,5868,Borehole,58.0,1,0,Latrines,24501,No,Yes,3.8,17.3,76.9
Northern Malawi,Malawi,Northern Community 502,12806,Well,51.9,40,8,Toilets,1527,No,No,9.4,27.5,52.9
Eastern Nigeria,Nigeria,Eastern Community 503,2397,River,75.3,29,1,Latrines,35011,Yes,No,9.4,23.3,63.6
Western Kenya,Kenya,Western Community 504,8707,Well,11.6,5,2,Latrines,25424,No,Yes,8.1,21.3,80.0
Western Uganda,Uganda,Western Community 505,9788,Well,29.5,26,4,Toilets,44267,Yes,Yes,7.8,1.4,67.1
Dar es Salaam,Tanzania,Dar Community 506,13867,Well,52.0,45,9,Latrines,7881,Yes,Yes,3.6,4.5,90.1
Southern Zambia,Zambia,Southern Community 507,9197,Well,79.1,15,10,Toilets,42415,No,Yes,3.6,3.4,50.3
Eastern Ethiopia,Ethiopia,Eastern Community 508,11725,Well,82.4,19,8,Latrines,40494,No,No,5.1,3.4,59.9
Southern Zambia,Zambia,Southern Community 509,8432,Well,46.9,13,10,Latrines,28431,No,Yes,2.2,23.0,85.6
Eastern Nigeria,Nigeria,Eastern Community 510,1531,Borehole,95.5,6,6,Toilets,40722,Yes,No,0.5,10.8,82.8
Dar es Salaam,Tanzania,Dar Community 511,9958,River,46.9,24,5,Latrines,10888,Yes,No,6.5,20.4,80.2
Western Kenya,Kenya,Western Community 512,6653,Well,82.9,20,6,Latrines,2410,Yes,Yes,9.0,11.9,52.5
Northern Malawi,Malawi,Northern Community 513,13005,Well,18.8,22,1,Toilets,20825,Yes,No,8.2,22.6,73.2
Central Senegal,Senegal,Central Community 514,9115,River,54.7,43,0,Latrines,39022,Yes,Yes,2.7,14.5,65.3
Western Uganda,Uganda,Western Community 515,10860,River,94.7,17,2,Toilets,48298,Yes,Yes,8.7,10.9,56.6
Eastern Rwanda,Rwanda,Eastern Community 516,11215,Well,30.3,42,10,Toilets,10409,No,Yes,8.2,2.5,55.0
Eastern Nigeria,Nigeria,Eastern Community 517,4773,Well,29.1,42,7,Latrines,39456,No,No,7.9,22.8,87.9
Central Senegal,Senegal,Central Community 518,8881,Borehole,80.7,22,6,Latrines,18209,Yes,Yes,5.0,1.5,81.6
Western Kenya,Kenya,Western Community 519,11149,Borehole,20.2,2,9,Latrines,17321,Yes,Yes,9.4,20.4,79.4
Central Senegal,Senegal,Central Community 520,3400,Borehole,85.6,29,6,Latrines,14934,Yes,No,8.8,25.2,78.0
Eastern Ethiopia,Ethiopia,Eastern Community 521,2882,Well,28.1,18,5,Toilets,2684,Yes,Yes,0.6,15.8,62.8
Western Uganda,Uganda,Western Community 522,12471,River,34.2,21,5,Latrines,11305,Yes,No,0.7,18.7,75.7
Southern Zambia,Zambia,Southern Community 523,11953,Well,88.3,6,1,Toilets,46417,Yes,Yes,7.0,3.0,56.8
Eastern Nigeria,Nigeria,Eastern Community 524,6044,Borehole,86.7,9,2,Latrines,13875,No,Yes,7.6,0.9,61.3
Dar es Salaam,Tanzania,Dar Community 525,1292,Well,79.6,37,5,Toilets,12949,No,No,7.9,21.2,50.8
Northern Ghana,Ghana,Northern Community 526,11739,Borehole,15.0,39,3,Latrines,49569,Yes,Yes,7.6,23.1,82.2
Western Uganda,Uganda,Western Community 527,14842,Borehole,87.4,50,3,Toilets,44140,Yes,No,3.4,2.8,60.9
Northern Malawi,Malawi,Northern Community 528,13588,Well,22.0,6,9,Toilets,44223,No,No,9.6,22.6,84.8
Central Senegal,Senegal,Central Community 529,8566,Borehole,55.7,20,10,Toilets,20193,No,Yes,7.0,25.7,80.0
Eastern Ethiopia,Ethiopia,Eastern Community 530,6383,Well,34.7,30,5,Latrines,7552,Yes,No,0.8,25.8,50.3
Central Senegal,Senegal,Central Community 531,11034,Well,58.3,50,8,Toilets,17743,No,No,4.4,1.9,75.5
Eastern Nigeria,Nigeria,Eastern Community 532,10989,Borehole,93.5,29,7,Toilets,8149,Yes,Yes,2.1,14.1,89.7
Dar es Salaam,Tanzania,Dar Community 533,8852,Borehole,12.2,1,5,Latrines,38942,Yes,No,4.6,15.0,86.4
Dar es Salaam,Tanzania,Dar Community 534,11254,Borehole,19.9,48,5,Toilets,18005,No,No,5.6,7.2,53.6
Northern Ghana,Ghana,Northern Community 535,11958,River,45.6,10,4,Latrines,33340,No,Yes,3.9,21.3,81.8
Northern Malawi,Malawi,Northern Community 536,1480,Borehole,11.2,11,2,Toilets,4712,Yes,No,4.7,22.8,85.1
Eastern Nigeria,Nigeria,Eastern Community 537,6321,Borehole,52.8,2,6,Latrines,25199,No,No,6.0,28.5,61.6
Eastern Ethiopia,Ethiopia,Eastern Community 538,10697,Well,31.5,16,4,Latrines,47847,No,Yes,8.3,22.7,76.9
Northern Ghana,Ghana,Northern Community 539,9408,River,31.6,29,3,Latrines,34906,No,No,8.0,16.6,54.6
Western Kenya,Kenya,Western Community 540,873,River,69.8,17,9,Toilets,13445,No,Yes,6.6,6.0,76.2
Southern Zambia,Zambia,Southern Community 541,2105,Well,81.1,12,2,Latrines,44205,No,No,8.8,29.0,50.6
Eastern Rwanda,Rwanda,Eastern Community 542,7455,River,80.9,25,9,Latrines,28731,No,No,9.4,23.6,60.2
Southern Zambia,Zambia,Southern Community 543,11359,River,50.8,35,2,Latrines,14273,Yes,No,3.9,19.6,80.4
Western Uganda,Uganda,Western Community 544,11205,River,53.9,20,5,Latrines,25558,Yes,Yes,2.4,8.8,90.9
Western Uganda,Uganda,Western Community 545,10380,Borehole,98.3,49,0,Latrines,26505,No,No,4.2,23.8,86.0
Eastern Nigeria,Nigeria,Eastern Community 546,13748,Borehole,91.9,7,1,Toilets,13214,No,Yes,7.4,14.2,91.6
Western Kenya,Kenya,Western Community 547,11111,River,39.5,47,8,Toilets,35260,No,No,7.4,17.9,89.1
Eastern Nigeria,Nigeria,Eastern Community 548,13232,Borehole,61.7,5,4,Toilets,38204,Yes,No,0.9,5.3,70.9
Northern Ghana,Ghana,Northern Community 549,2907,Well,50.8,22,7,Toilets,1459,No,No,0.7,8.1,53.8
Eastern Nigeria,Nigeria,Eastern Community 550,6961,River,82.9,10,3,Latrines,8885,Yes,Yes,2.5,25.3,51.8
Southern Zambia,Zambia,Southern Community 551,4422,River,44.9,30,1,Latrines,31671,No,No,9.5,12.0,59.3
Eastern Nigeria,Nigeria,Eastern Community 552,10799,Well,60.9,10,2,Latrines,44734,No,Yes,2.0,22.2,75.6
Eastern Rwanda,Rwanda,Eastern Community 553,10292,Well,62.8,31,3,Latrines,32351,Yes,Yes,5.4,17.7,74.6
Western Kenya,Kenya,Western Community 554,2764,Well,69.4,19,9,Latrines,29341,No,No,3.3,21.4,73.7
Northern Malawi,Malawi,Northern Community 555,14277,River,24.9,12,7,Latrines,3394,No,No,6.8,23.3,53.9
Western Uganda,Uganda,Western Community 556,10812,River,22.4,32,2,Toilets,16909,Yes,Yes,7.7,27.0,79.6
Western Uganda,Uganda,Western Community 557,5044,Well,93.3,6,9,Toilets,44040,Yes,Yes,0.8,29.1,52.5
Dar es Salaam,Tanzania,Dar Community 558,2856,Well,83.0,24,7,Latrines,9701,No,No,5.7,14.6,64.3
Southern Zambia,Zambia,Southern Community 559,10565,Borehole,87.5,39,10,Latrines,39444,No,Yes,0.6,1.7,70.6
Central Senegal,Senegal,Central Community 560,3620,Well,63.5,39,10,Toilets,46662,No,No,9.4,18.2,62.7
Western Uganda,Uganda,Western Community 561,5503,Borehole,74.6,45,9,Latrines,30769,Yes,No,6.3,18.7,81.8
Southern Zambia,Zambia,Southern Community 562,14814,River,97.2,14,1,Toilets,21211,No,Yes,2.8,2.2,55.9
Eastern Ethiopia,Ethiopia,Eastern Community 563,14381,River,21.2,50,2,Latrines,18647,Yes,No,6.2,12.4,60.1
Eastern Nigeria,Nigeria,Eastern Community 564,5179,River,67.8,40,8,Toilets,36721,No,No,1.8,2.0,87.7
Eastern Nigeria,Nigeria,Eastern Community 565,808,Well,95.0,46,6,Latrines,25059,Yes,No,9.3,21.3,90.4
Dar es Salaam,Tanzania,Dar Community 566,13186,Borehole,93.1,8,10,Latrines,14196,Yes,Yes,2.8,29.6,76.1
Dar es Salaam,Tanzania,Dar Community 567,9621,River,78.8,38,10,Latrines,21218,No,No,9.3,20.4,66.7
Western Uganda,Uganda,Western Community 568,2967,River,30.0,27,6,Toilets,31459,No,Yes,2.0,8.5,56.5
Eastern Ethiopia,Ethiopia,Eastern Community 569,2998,Well,60.7,22,3,Latrines,38545,No,Yes,7.7,19.4,93.1
Dar es Salaam,Tanzania,Dar Community 570,6991,Borehole,39.4,1,1,Latrines,49866,Yes,No,6.9,13.6,56.1
Southern Zambia,Zambia,Southern Community 571,12053,River,29.1,37,1,Toilets,34121,No,No,2.7,21.6,75.7
Northern Ghana,Ghana,Northern Community 572,5381,River,69.2,12,9,Toilets,12522,Yes,Yes,2.4,19.2,77.6
Southern Zambia,Zambia,Southern Community 573,4563,Well,55.5,17,6,Latrines,13096,No,Yes,8.9,10.4,83.4
Western Kenya,Kenya,Western Community 574,3583,Well,94.7,42,4,Toilets,2070,Yes,Yes,7.0,16.5,50.3
Southern Zambia,Zambia,Southern Community 575,8530,River,13.3,5,10,Latrines,19147,Yes,No,1.0,27.1,67.1
Western Kenya,Kenya,Western Community 576,14789,Borehole,93.7,17,8,Latrines,24698,No,Yes,9.0,24.8,87.4
Eastern Ethiopia,Ethiopia,Eastern Community 577,1702,River,41.6,14,1,Toilets,49081,No,Yes,2.6,3.8,86.6
Northern Ghana,Ghana,Northern Community 578,9196,Well,95.6,10,3,Toilets,18404,No,Yes,4.2,21.1,80.9
Eastern Rwanda,Rwanda,Eastern Community 579,12290,River,73.9,23,9,Latrines,42841,No,Yes,5.7,25.7,85.5
Eastern Ethiopia,Ethiopia,Eastern Community 580,12181,River,65.4,35,6,Toilets,37227,Yes,No,0.7,27.3,69.8
Eastern Ethiopia,Ethiopia,Eastern Community 581,8663,River,58.5,16,9,Toilets,33833,Yes,No,2.8,22.2,89.6
Northern Ghana,Ghana,Northern Community 582,12129,Well,41.7,13,3,Toilets,11588,Yes,Yes,3.3,16.2,52.5
Eastern Nigeria,Nigeria,Eastern Community 583,11012,Well,48.2,50,4,Toilets,49158,Yes,Yes,5.4,10.4,74.6
Eastern Ethiopia,Ethiopia,Eastern Community 584,6113,Well,51.4,45,7,Toilets,14826,No,No,7.5,0.2,57.5
Southern Zambia,Zambia,Southern Community 585,11077,River,46.2,7,2,Toilets,49042,No,Yes,1.7,2.8,86.2
Northern Malawi,Malawi,Northern Community 586,7968,Borehole,71.0,2,0,Toilets,32771,Yes,No,4.9,19.2,93.1
Western Kenya,Kenya,Western Community 587,9758,River,44.5,17,8,Latrines,1491,Yes,Yes,8.9,23.4,64.3
Central Senegal,Senegal,Central Community 588,7832,Borehole,78.9,42,10,Toilets,7659,Yes,Yes,7.0,5.6,94.6
Central Senegal,Senegal,Central Community 589,13954,Well,63.8,47,6,Toilets,48540,Yes,No,5.2,22.8,60.1
Eastern Ethiopia,Ethiopia,Eastern Community 590,8556,Borehole,95.3,1,8,Latrines,40965,No,Yes,1.2,7.5,84.9
Northern Ghana,Ghana,Northern Community 591,13736,Well,50.5,5,7,Toilets,27227,No,No,5.3,0.4,50.4
Central Senegal,Senegal,Central Community 592,14571,Well,52.1,44,0,Toilets,5240,No,Yes,6.8,4.2,86.2
Eastern Ethiopia,Ethiopia,Eastern Community 593,7583,Well,55.9,22,3,Latrines,36255,No,Yes,6.0,16.4,66.8
Eastern Ethiopia,Ethiopia,Eastern Community 594,5591,Well,19.8,50,8,Toilets,45983,No,No,7.1,27.4,69.6
Northern Ghana,Ghana,Northern Community 595,9121,River,92.6,50,0,Latrines,28560,Yes,Yes,9.6,11.8,69.5
Central Senegal,Senegal,Central Community 596,11036,River,20.7,47,5,Toilets,10284,Yes,No,1.9,18.0,63.6
Eastern Ethiopia,Ethiopia,Eastern Community 597,11523,Well,91.0,15,0,Latrines,19956,No,No,4.0,2.3,73.5
Eastern Rwanda,Rwanda,Eastern Community 598,12945,Well,65.2,25,10,Latrines,26826,Yes,Yes,3.7,23.4,72.2
Southern Zambia,Zambia,Southern Community 599,11443,River,61.8,36,5,Toilets,38841,No,Yes,4.3,17.7,94.2
Western Kenya,Kenya,Western Community 600,10148,Well,75.1,10,3,Toilets,47193,No,No,1.6,18.0,82.8
Eastern Ethiopia,Ethiopia,Eastern Community 601,541,Borehole,35.0,3,5,Latrines,25984,Yes,No,9.7,6.4,80.0
Eastern Nigeria,Nigeria,Eastern Community 602,6442,River,42.6,34,3,Toilets,8953,No,Yes,7.1,27.6,52.7
Western Kenya,Kenya,Western Community 603,12882,Borehole,58.3,1,5,Latrines,22247,No,No,1.3,15.1,53.2
Dar es Salaam,Tanzania,Dar Community 604,5945,Borehole,29.9,17,9,Toilets,15699,No,Yes,7.0,3.7,80.7
Eastern Nigeria,Nigeria,Eastern Community 605,1215,Well,68.0,42,10,Latrines,3337,Yes,Yes,3.5,8.1,75.7
Northern Ghana,Ghana,Northern Community 606,14272,River,28.9,13,8,Latrines,11511,Yes,Yes,3.8,28.4,54.4
Eastern Ethiopia,Ethiopia,Eastern Community 607,9320,River,15.9,50,5,Latrines,33355,Yes,Yes,3.6,27.2,60.6
Eastern Nigeria,Nigeria,Eastern Community 608,6350,Borehole,48.1,10,3,Toilets,31609,No,Yes,6.6,18.1,51.4
Southern Zambia,Zambia,Southern Community 609,8677,Borehole,78.0,5,7,Toilets,41785,No,Yes,5.9,9.7,79.9
Western Uganda,Uganda,Western Community 610,575,Well,61.9,35,0,Toilets,34546,No,No,2.3,18.9,77.6
Western Kenya,Kenya,Western Community 611,12006,River,21.6,39,9,Latrines,1715,No,Yes,9.9,11.6,53.5
Central Senegal,Senegal,Central Community 612,2718,Borehole,82.8,8,1,Latrines,36485,Yes,Yes,3.6,2.9,56.6
Eastern Rwanda,Rwanda,Eastern Community 613,3709,River,38.7,39,2,Latrines,34051,No,No,7.7,5.9,62.8
Western Uganda,Uganda,Western Community 614,3384,River,41.7,21,2,Latrines,48280,No,No,0.7,7.6,69.1
Northern Ghana,Ghana,Northern Community 615,5181,River,31.8,25,8,Latrines,33942,Yes,Yes,7.0,15.1,66.6
Eastern Ethiopia,Ethiopia,Eastern Community 616,3056,River,89.9,23,6,Latrines,36141,No,No,4.9,4.8,82.9
Eastern Rwanda,Rwanda,Eastern Community 617,5741,Well,64.1,37,6,Latrines,18103,No,No,2.7,5.2,91.0
Western Kenya,Kenya,Western Community 618,14628,River,63.7,23,10,Toilets,4466,No,Yes,4.4,9.2,65.2
Central Senegal,Senegal,Central Community 619,13665,Well,44.4,32,6,Latrines,49430,Yes,Yes,8.7,24.5,64.1
Northern Ghana,Ghana,Northern Community 620,632,Well,24.7,11,6,Latrines,21110,Yes,Yes,5.0,14.3,82.1
Eastern Ethiopia,Ethiopia,Eastern Community 621,12537,Well,44.9,40,4,Toilets,20784,No,Yes,4.9,20.0,70.4
Southern Zambia,Zambia,Southern Community 622,3497,Well,14.1,33,2,Latrines,32088,Yes,No,8.5,10.7,79.0
Eastern Nigeria,Nigeria,Eastern Community 623,2047,Well,41.8,31,1,Latrines,15041,No,No,4.5,0.9,79.4
Northern Malawi,Malawi,Northern Community 624,10548,Borehole,63.6,5,2,Latrines,43330,No,Yes,4.2,21.9,85.6
Northern Ghana,Ghana,Northern Community 625,2905,Well,32.3,20,6,Latrines,19487,No,Yes,5.7,18.4,51.9
Dar es Salaam,Tanzania,Dar Community 626,2632,Well,77.7,48,2,Toilets,34240,No,Yes,1.2,12.6,83.8
Western Kenya,Kenya,Western Community 627,9130,Borehole,15.2,5,5,Toilets,5478,No,No,3.7,1.6,75.8
Eastern Rwanda,Rwanda,Eastern Community 628,5204,River,50.5,44,5,Latrines,16924,No,Yes,8.5,22.4,71.5
Eastern Rwanda,Rwanda,Eastern Community 629,8181,Well,47.4,27,3,Toilets,8540,Yes,Yes,7.8,29.7,80.0
Eastern Ethiopia,Ethiopia,Eastern Community 630,5000,Well,13.2,5,2,Latrines,49886,No,Yes,9.4,9.6,63.6
Eastern Ethiopia,Ethiopia,Eastern Community 631,10323,River,60.4,12,3,Toilets,22666,No,No,3.5,11.1,56.7
Northern Malawi,Malawi,Northern Community 632,4285,Borehole,66.6,29,1,Latrines,39402,Yes,No,3.3,29.9,93.3
Northern Ghana,Ghana,Northern Community 633,3478,River,75.7,50,8,Toilets,37681,No,Yes,7.1,25.6,55.6
Southern Zambia,Zambia,Southern Community 634,8947,Well,10.9,38,0,Toilets,14258,No,Yes,4.7,27.4,83.7
Western Kenya,Kenya,Western Community 635,5316,Well,27.1,42,2,Toilets,23072,No,Yes,2.7,23.5,74.1
Northern Malawi,Malawi,Northern Community 636,9337,River,94.6,38,1,Latrines,11851,Yes,No,9.3,14.8,84.9
Northern Ghana,Ghana,Northern Community 637,3822,River,35.1,43,8,Latrines,48155,Yes,Yes,6.0,13.2,62.6
Northern Ghana,Ghana,Northern Community 638,5675,Borehole,52.0,28,0,Latrines,49894,Yes,No,0.8,27.0,80.1
Eastern Rwanda,Rwanda,Eastern Community 639,8344,River,18.2,41,7,Latrines,8715,No,No,2.6,29.2,92.8
Western Uganda,Uganda,Western Community 640,10270,River,78.1,42,1,Latrines,3629,Yes,No,8.2,5.5,52.3
Central Senegal,Senegal,Central Community 641,12286,River,74.9,3,0,Toilets,33706,Yes,Yes,3.8,17.5,75.7
Eastern Nigeria,Nigeria,Eastern Community 642,9116,Well,64.4,7,3,Toilets,4337,No,Yes,5.1,22.9,56.1
Southern Zambia,Zambia,Southern Community 643,7108,Well,71.2,21,4,Latrines,20550,No,No,9.0,22.8,89.3
Northern Malawi,Malawi,Northern Community 644,14196,Borehole,93.8,7,4,Latrines,43480,Yes,No,9.9,1.7,64.1
Eastern Nigeria,Nigeria,Eastern Community 645,13317,River,61.8,45,4,Toilets,40637,Yes,No,7.0,27.4,82.0
Northern Malawi,Malawi,Northern Community 646,3074,River,67.4,49,6,Latrines,38817,Yes,No,8.0,8.8,88.3
Dar es Salaam,Tanzania,Dar Community 647,6980,Well,36.0,7,9,Latrines,24074,No,Yes,1.6,18.5,68.3
Eastern Rwanda,Rwanda,Eastern Community 648,8285,Borehole,91.7,11,1,Latrines,34105,No,Yes,6.7,10.3,80.8
Central Senegal,Senegal,Central Community 649,14600,Well,85.4,45,6,Toilets,5220,No,Yes,3.7,23.7,53.2
Western Kenya,Kenya,Western Community 650,4448,Well,77.0,17,0,Toilets,47437,Yes,No,0.6,12.7,94.1
Eastern Ethiopia,Ethiopia,Eastern Community 651,7476,Borehole,96.0,42,3,Latrines,25887,Yes,No,7.1,11.7,59.7
Eastern Rwanda,Rwanda,Eastern Community 652,11992,Well,63.3,29,3,Toilets,4542,No,No,8.1,20.2,65.7
Eastern Ethiopia,Ethiopia,Eastern Community 653,7617,Borehole,46.9,23,10,Toilets,3150,No,Yes,4.0,29.6,69.3
Western Kenya,Kenya,Western Community 654,2200,Borehole,48.2,31,0,Toilets,45200,Yes,Yes,1.5,26.3,71.6
Northern Malawi,Malawi,Northern Community 655,5197,Well,36.9,1,2,Toilets,1220,Yes,No,2.9,13.3,60.9
Western Kenya,Kenya,Western Community 656,13487,River,15.0,16,6,Latrines,10618,No,Yes,9.3,23.4,57.5
Dar es Salaam,Tanzania,Dar Community 657,5483,Well,14.2,44,3,Toilets,10815,Yes,No,1.6,3.7,60.9
Eastern Nigeria,Nigeria,Eastern Community 658,12064,River,72.5,48,4,Toilets,10497,Yes,No,4.4,8.7,72.8
Southern Zambia,Zambia,Southern Community 659,11853,Well,99.9,2,3,Latrines,40253,Yes,Yes,1.9,3.0,89.3
Eastern Nigeria,Nigeria,Eastern Community 660,12717,River,31.8,2,1,Latrines,43556,No,No,7.1,0.8,88.9
Southern Zambia,Zambia,Southern Community 661,8462,Borehole,95.5,43,4,Toilets,43301,Yes,Yes,1.9,25.7,85.4
Eastern Ethiopia,Ethiopia,Eastern Community 662,6646,River,19.7,2,2,Latrines,21523,Yes,Yes,9.8,20.1,52.0
Southern Zambia,Zambia,Southern Community 663,11418,Borehole,59.6,18,5,Toilets,16078,Yes,No,9.4,13.6,69.3
Eastern Rwanda,Rwanda,Eastern Community 664,5696,Borehole,89.0,16,1,Latrines,43124,Yes,No,6.8,16.3,56.5
Western Uganda,Uganda,Western Community 665,4918,River,32.9,13,3,Toilets,31629,Yes,No,7.0,29.9,77.5
Eastern Nigeria,Nigeria,Eastern Community 666,10661,Well,32.2,42,10,Latrines,43367,Yes,Yes,2.8,29.0,53.8
Western Kenya,Kenya,Western Community 667,14355,Well,70.2,44,10,Latrines,15512,No,No,0.7,17.7,92.7
Western Kenya,Kenya,Western Community 668,4583,River,70.7,48,1,Latrines,42408,Yes,Yes,5.7,27.9,66.3
Southern Zambia,Zambia,Southern Community 669,11368,River,36.6,34,3,Latrines,16808,No,Yes,9.4,29.6,77.1
Eastern Nigeria,Nigeria,Eastern Community 670,8596,Well,18.8,41,4,Toilets,46034,No,No,8.6,1.5,59.9
Southern Zambia,Zambia,Southern Community 671,602,Well,65.1,40,5,Latrines,16392,No,Yes,1.1,22.7,58.7
Eastern Nigeria,Nigeria,Eastern Community 672,12770,Borehole,10.4,25,3,Latrines,5594,Yes,Yes,2.9,2.4,69.2
Dar es Salaam,Tanzania,Dar Community 673,10725,Borehole,63.4,25,7,Toilets,15882,No,No,7.0,13.4,94.5
Eastern Ethiopia,Ethiopia,Eastern Community 674,14517,River,97.0,4,9,Toilets,30754,No,No,9.0,16.1,77.4
Eastern Rwanda,Rwanda,Eastern Community 675,13845,Well,31.8,5,6,Toilets,2379,No,No,3.5,14.6,90.2
Central Senegal,Senegal,Central Community 676,12125,River,38.7,23,10,Toilets,18920,No,Yes,3.5,4.4,65.1
Eastern Nigeria,Nigeria,Eastern Community 677,14014,River,89.2,38,3,Latrines,14294,Yes,Yes,5.9,7.4,85.2
Central Senegal,Senegal,Central Community 678,12375,Well,83.6,34,6,Toilets,7155,Yes,Yes,5.5,5.4,80.5
Western Kenya,Kenya,Western Community 679,7223,River,67.1,38,5,Latrines,34484,No,No,6.4,2.1,82.1
Central Senegal,Senegal,Central Community 680,12059,River,97.1,6,8,Toilets,45978,No,No,2.1,9.1,78.1
Northern Ghana,Ghana,Northern Community 681,9157,Borehole,71.8,1,8,Toilets,44323,No,Yes,3.9,19.3,78.9
Eastern Rwanda,Rwanda,Eastern Community 682,2010,Well,42.7,23,1,Toilets,9888,No,Yes,1.9,20.4,53.8
Eastern Ethiopia,Ethiopia,Eastern Community 683,7225,Well,14.2,11,7,Toilets,32200,No,No,2.3,22.7,92.1
Dar es Salaam,Tanzania,Dar Community 684,8619,Borehole,83.3,41,8,Toilets,49813,No,No,3.8,25.0,53.1
Western Uganda,Uganda,Western Community 685,13043,Borehole,43.2,43,2,Latrines,5327,No,Yes,10.0,10.5,59.6
Northern Malawi,Malawi,Northern Community 686,4031,River,16.8,15,5,Latrines,28120,Yes,No,4.2,23.9,61.7
Southern Zambia,Zambia,Southern Community 687,8410,Borehole,81.2,16,8,Latrines,23532,No,Yes,8.2,7.2,63.2
Eastern Ethiopia,Ethiopia,Eastern Community 688,9179,Well,43.0,20,8,Latrines,42374,Yes,No,5.4,23.1,94.2
Western Uganda,Uganda,Western Community 689,14349,Borehole,21.0,22,6,Latrines,15835,Yes,Yes,6.6,18.8,63.9
Dar es Salaam,Tanzania,Dar Community 690,2796,Borehole,75.5,31,10,Latrines,39568,No,No,7.8,10.2,68.5
Northern Ghana,Ghana,Northern Community 691,7976,Well,54.4,49,9,Latrines,21921,No,No,8.2,25.8,85.5
Eastern Nigeria,Nigeria,Eastern Community 692,7201,Borehole,63.8,47,1,Latrines,22267,Yes,Yes,4.1,11.5,79.8
Southern Zambia,Zambia,Southern Community 693,770,Borehole,97.4,18,1,Latrines,8316,Yes,Yes,9.3,28.7,54.7
Northern Malawi,Malawi,Northern Community 694,2008,Borehole,95.3,38,10,Latrines,11300,No,Yes,6.8,29.4,63.7
Southern Zambia,Zambia,Southern Community 695,10388,Well,56.0,12,2,Toilets,47262,Yes,No,3.0,7.1,54.4
Northern Ghana,Ghana,Northern Community 696,11334,Borehole,53.8,46,2,Toilets,10545,No,Yes,0.8,11.9,63.5
Northern Ghana,Ghana,Northern Community 697,12220,Borehole,57.5,6,5,Toilets,35920,Yes,Yes,7.2,9.4,62.4
Western Kenya,Kenya,Western Community 698,4667,Well,19.5,4,4,Toilets,19748,No,Yes,9.7,17.9,71.9
Western Uganda,Uganda,Western Community 699,4740,Well,23.9,26,3,Toilets,45804,Yes,No,7.9,7.7,82.5
Eastern Ethiopia,Ethiopia,Eastern Community 700,10826,Borehole,47.2,7,8,Toilets,5615,No,Yes,7.8,18.2,90.6
Northern Ghana,Ghana,Northern Community 701,743,River,60.3,31,2,Latrines,48264,No,Yes,9.6,27.7,85.9
Eastern Nigeria,Nigeria,Eastern Community 702,12765,River,78.7,2,9,Toilets,18390,No,Yes,4.7,4.8,52.7
Central Senegal,Senegal,Central Community 703,13707,River,83.2,50,1,Toilets,35122,Yes,Yes,6.3,23.0,71.1
Eastern Ethiopia,Ethiopia,Eastern Community 704,14452,Well,61.2,16,6,Latrines,27570,No,Yes,2.3,26.0,82.6
Western Uganda,Uganda,Western Community 705,5155,Borehole,17.8,39,5,Latrines,36668,Yes,Yes,1.4,8.3,93.7
Northern Malawi,Malawi,Northern Community 706,6836,River,51.5,6,4,Latrines,32354,No,Yes,6.2,2.0,58.1
Western Kenya,Kenya,Western Community 707,4219,River,43.4,25,5,Latrines,2239,No,Yes,8.8,6.3,86.2
Western Uganda,Uganda,Western Community 708,10514,River,74.5,12,3,Toilets,22904,Yes,No,6.2,24.6,78.5
Western Kenya,Kenya,Western Community 709,1824,River,57.8,26,8,Latrines,33128,No,No,6.2,14.6,68.5
Western Kenya,Kenya,Western Community 710,3769,Borehole,38.3,3,10,Toilets,27298,Yes,Yes,8.7,19.2,60.3
Eastern Ethiopia,Ethiopia,Eastern Community 711,13801,River,16.6,8,9,Toilets,49096,Yes,Yes,7.5,3.8,54.6
Western Uganda,Uganda,Western Community 712,5969,River,82.3,21,8,Toilets,15036,No,Yes,2.0,6.9,54.2
Eastern Ethiopia,Ethiopia,Eastern Community 713,9810,Well,53.5,1,10,Latrines,16397,No,Yes,8.9,12.5,51.6
Southern Zambia,Zambia,Southern Community 714,5481,Well,20.5,15,8,Latrines,26186,No,Yes,1.4,21.7,68.9
Central Senegal,Senegal,Central Community 715,5661,Well,36.1,23,2,Latrines,40794,No,Yes,6.5,3.2,69.1
Northern Malawi,Malawi,Northern Community 716,1376,River,64.8,41,2,Latrines,11683,No,Yes,5.7,22.6,73.7
